expected_coverage,actual_coverage,mean_pi_width,error,recal_coverage,recal_error,recal_mean_pi_width,uncensored_coverage,uncensored_error,n_uncensored,uncensored_recal_coverage,uncensored_recal_error
0.5,0.6849184311003124,9.837,0.1849,0.6500347101700799,0.15,9.44,0.4446494464944649,-0.0554,4878,0.4200492004920049,-0.08
0.6,0.7474835126692121,12.274,0.1475,0.7230996181881291,0.1231,11.772,0.5321853218532185,-0.0678,4878,0.511890118901189,-0.0881
0.7,0.7980735855605693,15.115,0.0981,0.7915654286706005,0.0916,14.985,0.6238212382123821,-0.0762,4878,0.6184911849118491,-0.0815
0.8,0.851874349184311,18.69,0.0519,0.856039569593891,0.056,19.487,0.7179171791717918,-0.0821,4878,0.7316523165231652,-0.0683
0.9,0.9087990281152377,23.988,0.0088,0.9331829225963207,0.0332,28.31,0.8216482164821648,-0.0784,4878,0.8714637146371463,-0.0285
0.95,0.939777854911489,28.584,-0.0102,0.973967372440125,0.024,40.169,0.8796637966379663,-0.0703,4878,0.9466994669946699,-0.0033
