expected_coverage,actual_coverage,mean_pi_width,error,recal_coverage,recal_error,recal_mean_pi_width,uncensored_coverage,uncensored_error,n_uncensored,uncensored_recal_coverage,uncensored_recal_error
0.5,0.7859116022099447,16.953,0.2859,0.16298342541436464,-0.337,11.146,0.5678175657111457,0.0678,10919,0.4311750160271087,-0.0688
0.6,0.8353245856353592,21.154,0.2353,0.6276933701657459,0.0277,15.2,0.6593094605733125,0.0593,10919,0.5452880300393809,-0.0547
0.7,0.8720994475138122,26.051,0.1721,0.785842541436464,0.0858,20.965,0.7357816649876362,0.0358,10919,0.6750618188478799,-0.0249
0.8,0.9086325966850829,32.212,0.1086,0.8856698895027625,0.0857,29.169,0.8165582928839638,0.0166,10919,0.7993405989559483,-0.0007
0.9,0.9397444751381215,41.343,0.0397,0.9536947513812155,0.0537,45.568,0.8856122355527063,-0.0144,10919,0.9233446286289954,0.0233
0.95,0.9591160220994475,49.263,0.0091,0.9766229281767956,0.0266,59.943,0.9274658851543182,-0.0225,10919,0.9643740269255426,0.0144
