expected_coverage,actual_coverage,mean_pi_width,error,recal_coverage,recal_error,recal_mean_pi_width,uncensored_coverage,uncensored_error,n_uncensored,uncensored_recal_coverage,uncensored_recal_error
0.5,0.6017100561510975,15.485,0.1017,0.32474051386761954,-0.1753,14.578,0.4807313421073371,-0.0193,12689,0.4378595634013713,-0.0621
0.6,0.6939765186319551,19.323,0.094,0.4838352901140037,-0.1162,18.357,0.5765623768618489,-0.0234,12689,0.5377886358263062,-0.0622
0.7,0.7706312744597584,23.795,0.0706,0.6617321762804151,-0.0383,22.877,0.6704232011978879,-0.0296,12689,0.6440223815903539,-0.056
0.8,0.8427343882933469,29.423,0.0427,0.7931342521694742,-0.0069,28.846,0.7638111750334936,-0.0362,12689,0.754038931357869,-0.046
0.9,0.9084566955929896,37.764,0.0085,0.8941636889569509,-0.0058,38.052,0.8569627236188825,-0.043,12689,0.8619276538734337,-0.0381
0.95,0.9430406670069763,44.998,-0.007,0.9426578186149396,-0.0073,48.346,0.9108676806682954,-0.0391,12689,0.9243439199306486,-0.0257
