expected_coverage,actual_coverage,mean_pi_width,error,recal_coverage,recal_error,recal_mean_pi_width,uncensored_coverage,uncensored_error,n_uncensored,uncensored_recal_coverage,uncensored_recal_error
0.5,0.5780669144981413,12.294,0.0781,0.49789343246592316,-0.0021,11.611,0.400086040008604,-0.0999,4649,0.38696493869649384,-0.113
0.6,0.6457249070631971,15.34,0.0457,0.6146220570012392,0.0146,14.615,0.48462034846203483,-0.1154,4649,0.46655194665519467,-0.1334
0.7,0.7106567534076828,18.891,0.0107,0.6970260223048327,-0.003,18.599,0.5693697569369757,-0.1306,4649,0.5596902559690256,-0.1403
0.8,0.7702602230483271,23.358,-0.0297,0.7726146220570013,-0.0274,23.77,0.6558399655839966,-0.1442,4649,0.6620778662077866,-0.1379
0.9,0.8403965303593557,29.98,-0.0596,0.8636926889714994,-0.0363,32.398,0.7668315766831577,-0.1332,4649,0.804043880404388,-0.096
0.95,0.8895910780669145,35.724,-0.0604,0.9240396530359356,-0.026,42.286,0.8410410841041084,-0.109,4649,0.895676489567649,-0.0543
